Model	Vehicle	Riparian	Proximity	Barrier	Attraction
1	LT	Adjacent	None	None	Norm
2	ST	Adjacent	None	None	Norm
3	MB	Adjacent	None	None	Norm
4	LB	Adjacent	None	None	Norm
5	LT	Topbuffer	None	None	Norm
6	ST	Topbuffer	None	None	Norm
7	MB	Topbuffer	None	None	Norm
8	LB	Topbuffer	None	None	Norm
9	LT	Distbuffer	None	None	Norm
10	ST	Distbuffer	None	None	Norm
11	MB	Distbuffer	None	None	Norm
12	LB	Distbuffer	None	None	Norm
13	LT	Adjacent	Low	None	Norm
14	ST	Adjacent	Low	None	Norm
15	MB	Adjacent	Low	None	Norm
16	LB	Adjacent	Low	None	Norm
17	LT	Topbuffer	Low	None	Norm
18	ST	Topbuffer	Low	None	Norm
19	MB	Topbuffer	Low	None	Norm
20	LB	Topbuffer	Low	None	Norm
21	LT	Distbuffer	Low	None	Norm
22	ST	Distbuffer	Low	None	Norm
23	MB	Distbuffer	Low	None	Norm
24	LB	Distbuffer	Low	None	Norm
25	LT	Adjacent	High	None	Norm
26	ST	Adjacent	High	None	Norm
27	MB	Adjacent	High	None	Norm
28	LB	Adjacent	High	None	Norm
29	LT	Topbuffer	High	None	Norm
30	ST	Topbuffer	High	None	Norm
31	MB	Topbuffer	High	None	Norm
32	LB	Topbuffer	High	None	Norm
33	LT	Distbuffer	High	None	Norm
34	ST	Distbuffer	High	None	Norm
35	MB	Distbuffer	High	None	Norm
36	LB	Distbuffer	High	None	Norm
37	LT	Adjacent	None	Por	Norm
38	ST	Adjacent	None	Por	Norm
39	MB	Adjacent	None	Por	Norm
40	LB	Adjacent	None	Por	Norm
41	LT	Topbuffer	None	Por	Norm
42	ST	Topbuffer	None	Por	Norm
43	MB	Topbuffer	None	Por	Norm
44	LB	Topbuffer	None	Por	Norm
45	LT	Distbuffer	None	Por	Norm
46	ST	Distbuffer	None	Por	Norm
47	MB	Distbuffer	None	Por	Norm
48	LB	Distbuffer	None	Por	Norm
49	LT	Adjacent	Low	Por	Norm
50	ST	Adjacent	Low	Por	Norm
51	MB	Adjacent	Low	Por	Norm
52	LB	Adjacent	Low	Por	Norm
53	LT	Topbuffer	Low	Por	Norm
54	ST	Topbuffer	Low	Por	Norm
55	MB	Topbuffer	Low	Por	Norm
56	LB	Topbuffer	Low	Por	Norm
57	LT	Distbuffer	Low	Por	Norm
58	ST	Distbuffer	Low	Por	Norm
59	MB	Distbuffer	Low	Por	Norm
60	LB	Distbuffer	Low	Por	Norm
61	LT	Adjacent	High	Por	Norm
62	ST	Adjacent	High	Por	Norm
63	MB	Adjacent	High	Por	Norm
64	LB	Adjacent	High	Por	Norm
65	LT	Topbuffer	High	Por	Norm
66	ST	Topbuffer	High	Por	Norm
67	MB	Topbuffer	High	Por	Norm
68	LB	Topbuffer	High	Por	Norm
69	LT	Distbuffer	High	Por	Norm
70	ST	Distbuffer	High	Por	Norm
71	MB	Distbuffer	High	Por	Norm
72	LB	Distbuffer	High	Por	Norm
73	LT	Adjacent	None	Abs	Norm
74	ST	Adjacent	None	Abs	Norm
75	MB	Adjacent	None	Abs	Norm
76	LB	Adjacent	None	Abs	Norm
77	LT	Topbuffer	None	Abs	Norm
78	ST	Topbuffer	None	Abs	Norm
79	MB	Topbuffer	None	Abs	Norm
80	LB	Topbuffer	None	Abs	Norm
81	LT	Distbuffer	None	Abs	Norm
82	ST	Distbuffer	None	Abs	Norm
83	MB	Distbuffer	None	Abs	Norm
84	LB	Distbuffer	None	Abs	Norm
85	LT	Adjacent	Low	Abs	Norm
86	ST	Adjacent	Low	Abs	Norm
87	MB	Adjacent	Low	Abs	Norm
88	LB	Adjacent	Low	Abs	Norm
89	LT	Topbuffer	Low	Abs	Norm
90	ST	Topbuffer	Low	Abs	Norm
91	MB	Topbuffer	Low	Abs	Norm
92	LB	Topbuffer	Low	Abs	Norm
93	LT	Distbuffer	Low	Abs	Norm
94	ST	Distbuffer	Low	Abs	Norm
95	MB	Distbuffer	Low	Abs	Norm
96	LB	Distbuffer	Low	Abs	Norm
97	LT	Adjacent	High	Abs	Norm
98	ST	Adjacent	High	Abs	Norm
99	MB	Adjacent	High	Abs	Norm
100	LB	Adjacent	High	Abs	Norm
101	LT	Topbuffer	High	Abs	Norm
102	ST	Topbuffer	High	Abs	Norm
103	MB	Topbuffer	High	Abs	Norm
104	LB	Topbuffer	High	Abs	Norm
105	LT	Distbuffer	High	Abs	Norm
106	ST	Distbuffer	High	Abs	Norm
107	MB	Distbuffer	High	Abs	Norm
108	LB	Distbuffer	High	Abs	Norm
109	LT	Adjacent	None	None	Hab
110	ST	Adjacent	None	None	Hab
111	MB	Adjacent	None	None	Hab
112	LB	Adjacent	None	None	Hab
113	LT	Topbuffer	None	None	Hab
114	ST	Topbuffer	None	None	Hab
115	MB	Topbuffer	None	None	Hab
116	LB	Topbuffer	None	None	Hab
117	LT	Distbuffer	None	None	Hab
118	ST	Distbuffer	None	None	Hab
119	MB	Distbuffer	None	None	Hab
120	LB	Distbuffer	None	None	Hab
121	LT	Adjacent	Low	None	Hab
122	ST	Adjacent	Low	None	Hab
123	MB	Adjacent	Low	None	Hab
124	LB	Adjacent	Low	None	Hab
125	LT	Topbuffer	Low	None	Hab
126	ST	Topbuffer	Low	None	Hab
127	MB	Topbuffer	Low	None	Hab
128	LB	Topbuffer	Low	None	Hab
129	LT	Distbuffer	Low	None	Hab
130	ST	Distbuffer	Low	None	Hab
131	MB	Distbuffer	Low	None	Hab
132	LB	Distbuffer	Low	None	Hab
133	LT	Adjacent	High	None	Hab
134	ST	Adjacent	High	None	Hab
135	MB	Adjacent	High	None	Hab
136	LB	Adjacent	High	None	Hab
137	LT	Topbuffer	High	None	Hab
138	ST	Topbuffer	High	None	Hab
139	MB	Topbuffer	High	None	Hab
140	LB	Topbuffer	High	None	Hab
141	LT	Distbuffer	High	None	Hab
142	ST	Distbuffer	High	None	Hab
143	MB	Distbuffer	High	None	Hab
144	LB	Distbuffer	High	None	Hab
145	LT	Adjacent	None	Por	Hab
146	ST	Adjacent	None	Por	Hab
147	MB	Adjacent	None	Por	Hab
148	LB	Adjacent	None	Por	Hab
149	LT	Topbuffer	None	Por	Hab
150	ST	Topbuffer	None	Por	Hab
151	MB	Topbuffer	None	Por	Hab
152	LB	Topbuffer	None	Por	Hab
153	LT	Distbuffer	None	Por	Hab
154	ST	Distbuffer	None	Por	Hab
155	MB	Distbuffer	None	Por	Hab
156	LB	Distbuffer	None	Por	Hab
157	LT	Adjacent	Low	Por	Hab
158	ST	Adjacent	Low	Por	Hab
159	MB	Adjacent	Low	Por	Hab
160	LB	Adjacent	Low	Por	Hab
161	LT	Topbuffer	Low	Por	Hab
162	ST	Topbuffer	Low	Por	Hab
163	MB	Topbuffer	Low	Por	Hab
164	LB	Topbuffer	Low	Por	Hab
165	LT	Distbuffer	Low	Por	Hab
166	ST	Distbuffer	Low	Por	Hab
167	MB	Distbuffer	Low	Por	Hab
168	LB	Distbuffer	Low	Por	Hab
169	LT	Adjacent	High	Por	Hab
170	ST	Adjacent	High	Por	Hab
171	MB	Adjacent	High	Por	Hab
172	LB	Adjacent	High	Por	Hab
173	LT	Topbuffer	High	Por	Hab
174	ST	Topbuffer	High	Por	Hab
175	MB	Topbuffer	High	Por	Hab
176	LB	Topbuffer	High	Por	Hab
177	LT	Distbuffer	High	Por	Hab
178	ST	Distbuffer	High	Por	Hab
179	MB	Distbuffer	High	Por	Hab
180	LB	Distbuffer	High	Por	Hab
181	LT	Adjacent	None	Abs	Hab
182	ST	Adjacent	None	Abs	Hab
183	MB	Adjacent	None	Abs	Hab
184	LB	Adjacent	None	Abs	Hab
185	LT	Topbuffer	None	Abs	Hab
186	ST	Topbuffer	None	Abs	Hab
187	MB	Topbuffer	None	Abs	Hab
188	LB	Topbuffer	None	Abs	Hab
189	LT	Distbuffer	None	Abs	Hab
190	ST	Distbuffer	None	Abs	Hab
191	MB	Distbuffer	None	Abs	Hab
192	LB	Distbuffer	None	Abs	Hab
193	LT	Adjacent	Low	Abs	Hab
194	ST	Adjacent	Low	Abs	Hab
195	MB	Adjacent	Low	Abs	Hab
196	LB	Adjacent	Low	Abs	Hab
197	LT	Topbuffer	Low	Abs	Hab
198	ST	Topbuffer	Low	Abs	Hab
199	MB	Topbuffer	Low	Abs	Hab
200	LB	Topbuffer	Low	Abs	Hab
201	LT	Distbuffer	Low	Abs	Hab
202	ST	Distbuffer	Low	Abs	Hab
203	MB	Distbuffer	Low	Abs	Hab
204	LB	Distbuffer	Low	Abs	Hab
205	LT	Adjacent	High	Abs	Hab
206	ST	Adjacent	High	Abs	Hab
207	MB	Adjacent	High	Abs	Hab
208	LB	Adjacent	High	Abs	Hab
209	LT	Topbuffer	High	Abs	Hab
210	ST	Topbuffer	High	Abs	Hab
211	MB	Topbuffer	High	Abs	Hab
212	LB	Topbuffer	High	Abs	Hab
213	LT	Distbuffer	High	Abs	Hab
214	ST	Distbuffer	High	Abs	Hab
215	MB	Distbuffer	High	Abs	Hab
216	LB	Distbuffer	High	Abs	Hab
217	LT	Adjacent	None	None	Area
218	ST	Adjacent	None	None	Area
219	MB	Adjacent	None	None	Area
220	LB	Adjacent	None	None	Area
221	LT	Topbuffer	None	None	Area
222	ST	Topbuffer	None	None	Area
223	MB	Topbuffer	None	None	Area
224	LB	Topbuffer	None	None	Area
225	LT	Distbuffer	None	None	Area
226	ST	Distbuffer	None	None	Area
227	MB	Distbuffer	None	None	Area
228	LB	Distbuffer	None	None	Area
229	LT	Adjacent	Low	None	Area
230	ST	Adjacent	Low	None	Area
231	MB	Adjacent	Low	None	Area
232	LB	Adjacent	Low	None	Area
233	LT	Topbuffer	Low	None	Area
234	ST	Topbuffer	Low	None	Area
235	MB	Topbuffer	Low	None	Area
236	LB	Topbuffer	Low	None	Area
237	LT	Distbuffer	Low	None	Area
238	ST	Distbuffer	Low	None	Area
239	MB	Distbuffer	Low	None	Area
240	LB	Distbuffer	Low	None	Area
